id,publication_PMID,publication_DOI,publication_URL,publications,summary_results,publication_type,days_to_publication_PCD,days_to_publication_CD,days_to_summary_PCD,days_to_summary_CD,days_reg_to_start,days_reg_to_CD,days_reg_to_PCD,days_reg_to_publ,is_CTgov,recruitmentStatus,is_multicentric,phase,main_sponsor,intervention_type,primary_completion_date,completion_date,publication_date,primary_completion_year,enrollment,masking,allocation,start_date,lead_or_facility,lead_cities,facility_cities,center_size
NCT00089804,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,49,1633,1633,NA,yes,Terminated,yes,Phase 3,Industry,Drug,2009-02-01,2009-02-01,NA,2009,943,Double Blind,Randomized,2004-10-01,facility,,Berlin Göttingen Leipzig Mainz,No lead center
NCT00125567,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,3,1311,1311,NA,yes,Completed,yes,Phase 4,Industry,Drug,2009-03-01,2009-03-01,NA,2009,223,Double Blind,Randomized,2005-08-01,facility,,Düsseldorf,No lead center
NCT00125606,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-298,2166,2166,NA,yes,Terminated,no,Phase 3,Other,Procedure,2011-07-01,2011-07-01,NA,2011,30,Open Label,Randomized,2004-10-01,lead,LMU München Münster,Berlin Dresden Duisburg Frankfurt Hamburg Hannover Marburg,large
NCT00126321,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-274,2037,1917,NA,yes,Unknown status,no,Phase 2,Other,Drug,2010-11-01,2011-03-01,NA,2010,50,Open Label,Non-Randomized,2004-11-01,lead,Bonn,,large
NCT00132210,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-1081,1749,1749,NA,yes,Completed,yes,Phase 4,Other,Drug,2010-06-01,2010-06-01,NA,2010,200,Open Label,Non-Randomized,2002-09-01,lead,Bonn,,large
NCT00137124,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,248,1558,1558,NA,yes,Completed,no,Phase 2/Phase 3,Other,Drug,2009-12-01,2009-12-01,NA,2009,120,Double Blind,Randomized,2006-05-01,lead,Erlangen,,large
NCT00148876,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-737,1942,1942,NA,yes,Completed,no,Phase 3,Other,Drug,2011-01-01,2011-01-01,NA,2011,482,Open Label,Randomized,2003-09-01,facility,,Frankfurt,No lead center
NCT00150839,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,176,1547,1547,NA,yes,Unknown status,no,Phase 4,Other,Drug,2009-12-01,2009-12-01,NA,2009,80,Double Blind,Randomized,2006-03-01,lead,Erlangen,,large
NCT00151892,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,359,329,-159,1485,1455,NA,yes,Completed,yes,Phase 3,Industry,Drug,2009-09-01,2009-10-01,NA,2009,829,"Participant, Care Provider, Investigator, Outcomes Assessor",Randomized,2005-04-01,facility,,Freiburg Homburg,No lead center
NCT00156338,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-69,1910,1545,NA,yes,Completed,yes,Not given,Other,Procedure,2009-12-01,2010-12-01,NA,2009,108,Single Blind,Randomized,2005-07-01,lead,Münster,,large
NCT00160966,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-372,1635,1635,NA,yes,Completed,no,Phase 4,Other,Drug,2010-03-01,2010-03-01,NA,2010,108,No masking,Randomized,2004-09-01,lead,Giessen,Heidelberg,small
NCT00167596,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-70,1544,1330,NA,yes,Terminated,yes,Phase 2/Phase 3,Other,Device,2009-05-01,2009-12-01,NA,2009,103,Open Label,Randomized,2005-07-01,facility,,Rostock,No lead center
NCT00170274,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-1868,3306,2088,NA,yes,Completed,yes,Phase 4,Industry,Device,2011-06-01,2014-10-01,NA,2011,156,Open Label,Randomized,2000-08-01,lead,Lübeck Mannheim,,small
NCT00176046,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-2324,1543,1360,NA,yes,Unknown status,no,Phase 4,Other,Drug,2009-06-01,2009-12-01,NA,2009,114,Open Label,Randomized,1999-05-01,lead,Heidelberg,,large
NCT00176410,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-986,1540,1449,NA,yes,Unknown status,no,Phase 2,Other,Drug,2009-09-01,2009-12-01,NA,2009,100,Double Blind,Randomized,2003-01-01,lead,Leipzig,,large
NCT00188136,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-1138,1906,1753,NA,yes,Completed,no,Phase 2,Other,Drug,2010-07-01,2010-12-01,NA,2010,32,Open Label,Non-Randomized,2002-08-01,lead,Dresden,,large
NCT00196209,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-42,1541,1358,NA,yes,Unknown status,no,Phase 4,Other,Procedure,2009-06-01,2009-12-01,NA,2009,130,Open Label,Randomized,2005-08-01,lead,TU München,,large
