nct_id;cities_lead;brief_title;official_title;study_first_submitted_date;start_date;start_date_type;completion_date;completion_date_type;PI_name;PI_affiliation;interventions;overall_status;phase;enrollment;enrollment_type;were_results_reported
NCT04229069;Charite;Acid-Base Balance, Metabolism and Minerals;Randomized, Double-blind, Placebo-controlled Intervention Study on Effects of Basica® on Acid-base Balance, Metabolism and Quality of Life in Elderly Healthy Volunteers.;2020-01-07;2013-01-03;Actual;2015-12-30;Actual;;;alkaline salt mixture | placebo;Completed;N/A;40;Actual;FALSE
NCT04209309;Regensburg;Repetitive Transcranial Magnetic Stimulation as a Potential Tool to Reduce Sexual Arousal;Repetitive Transcranial Magnetic Stimulation as a Potential Tool to Reduce Sexual Arousal;2019-12-17;2014-10-01;Actual;2016-07-01;Actual;;;repetitive transcranial magnetic stimulation;Completed;N/A;19;Actual;FALSE
NCT04157023;Tübingen;Simulator Training for Direct Ophthalmoscopy;Direct-Ophthalmoscopy-Simulator-Study;2019-11-01;2017-01-31;Actual;2017-12-31;Actual;;;Simulator-based Training of Direct Ophthalmoscopy;Completed;N/A;78;Actual;FALSE
NCT04152408;Heidelberg;Clinical and Home Use Feasibility Study of a Percutaneous Optical Glucose Fiber Sensor;A Study to Investigate the Function, Safety and Tolerability of the FiberSense System in Diabetic Patients for a Period of Continuous Blood Glucose Monitoring up to 30 Days;2018-10-22;2017-01-31;Actual;2017-04-30;Actual;Christoph Hasslacher, Prof. Dr.;Diabetes Institut Heidelberg, Germany;FiberSense System;Completed;N/A;7;Actual;FALSE
NCT04114201;Dresden;Clinical Outcome and OR Resource Use of Total Knee Arthroplasty Using Patient-Specific or Conventional Instrumentation;Evaluation of Zimmer® Patient Specific Instrumentation vs. Conventional Instrumentation in Total Knee Arthroplasty Procedures: Clinical and Economic Outcomes;2019-10-01;2012-08-02;Actual;2017-02-23;Actual;;;PSI | Conventional;Completed;N/A;139;Actual;FALSE
NCT03961906;Tübingen;Physiotherapy in Hereditary Spastic Paraplegia;Design and Validation of a Modular Physiotherapy Concept for the Treatment of Hereditary Spastic Spinal Paralysis (HSP) - a Randomized Study;2019-05-20;2015-01-01;Actual;2017-03-30;Actual;;;physiotherapy;Completed;Phase 2;53;Actual;FALSE
NCT03868865;Duisburg;Effects of an Integrative Day-care Clinic Program for Breast Cancer Patients During Chemotherapy;Effects of an Integrative Day-care Clinic Program for Breast Cancer Patients During Chemotherapy: an Observational Study;2019-02-27;2012-08-07;Actual;2015-04-07;Actual;;;Integrative mind-body-medicine group program;Completed;N/A;57;Actual;FALSE
NCT03860129;Bochum;Different Volatile Anaesthetics and the Depth of Long Term ICU Sedation;Depth of Long Term ICU Sedation Under 0,5 MAC Isoflurane, Sevoflurane or Desflurane Using MIRUS, an Automated Delivery System for Volatile Anaesthetics;2018-09-24;2014-12-10;Actual;2017-05-31;Actual;Thomas Weber, PhD;Ruhr-University of Bochum, Germany;Isoflurane | Sevoflurane | Desflurane;Completed;N/A;30;Actual;FALSE
NCT03854942;Aachen;Study of the Opioid Modulation of the Effect of Alcohol on the Dopaminergic Reward System;Opioid Modulation of the Effect of Alcohol on the Dopaminergic Reward System: a [18F]-Fallypride- and [18F]-Fluoro-DOPA-PET Study.;2019-02-18;2011-08-30;Actual;2017-12-13;Actual;;;Placebo | Naltrexone;Terminated;Phase 1;43;Actual;FALSE
NCT03829839;Bonn;Effects of Oxytocin and Lorazepam on Fear-related Intra-amygdalar Activity;Common and Dissociable Effects of Oxytocin and Lorazepam on the Neurocircuitry of Fear - an Ultra-high Field Imaging Study;2019-02-01;2016-03-03;Actual;2017-08-16;Actual;;;Oxytocin | Lorazepam 1 mg | Placebo nasalspray | Placebo Oral Tablet;Completed;Phase 1;120;Actual;FALSE
NCT03789448;Heidelberg;Early Access to ART for All in Swaziland: Effects on Economic Outcomes;MaxART: The Effect of Early Access to ART for All in Swaziland on Economic Outcomes;2018-12-16;2014-09-01;Actual;2017-08-31;Actual;;;Early Access to ART for All;Completed;N/A;3019;Actual;FALSE
NCT03753841;Giessen;FEES to Determine Neurological Intensive Care Patients' Oral Diet;Flexible Endoscopic Evaluation of Swallowing (FEES) to Determine Neurological Patients' Oral Diet;2018-11-16;2014-01-14;Actual;2016-09-16;Actual;Tobias Braun, M.D.;University of Giessen;Adjustment of oral diet;Completed;N/A;125;Actual;FALSE
NCT03717493;Erlangen;Deficits in Emotion Regulation Skills as a Maintaining Factor in Binge Eating Disorder;Deficits in Emotion Regulation Skills as a Maintaining Factor in Binge Eating Disorder;2018-10-22;2012-12-17;Actual;2017-11-01;Actual;;;Affect Regulation Training;Completed;Phase 2/Phase 3;99;Actual;FALSE
NCT03667638;Hannover;Influence of Platelet Concentrates on Wound Healing;The Influence of Autologous Platelet Concentrates on Human Keratinocyte Proliferation in Vitro and Wound Healing in Vivo;2018-09-09;2016-11-30;Actual;2017-12-31;Actual;Peter Vogt, MD;Medical School Hannover;Platelet-Rich Plasma;Completed;N/A;5;Actual;FALSE
