nct_id;nlm_download_date_description;study_first_submitted_date;results_first_submitted_date;disposition_first_submitted_date;last_update_submitted_date;study_first_submitted_qc_date;study_first_posted_date;study_first_posted_date_type;results_first_submitted_qc_date;results_first_posted_date;results_first_posted_date_type;disposition_first_submitted_qc_date;disposition_first_posted_date;disposition_first_posted_date_type;last_update_submitted_qc_date;last_update_posted_date;last_update_posted_date_type;start_month_year;start_date_type;start_date;verification_month_year;verification_date;completion_month_year;completion_date_type;completion_date;primary_completion_month_year;primary_completion_date_type;primary_completion_date;target_duration;study_type;acronym;baseline_population;brief_title;official_title;overall_status;last_known_status;phase;enrollment;enrollment_type;source;limitations_and_caveats;number_of_arms;number_of_groups;why_stopped;has_expanded_access;expanded_access_type_individual;expanded_access_type_intermediate;expanded_access_type_treatment;has_dmc;is_fda_regulated_drug;is_fda_regulated_device;is_unapproved_device;is_ppsd;is_us_export;biospec_retention;biospec_description;ipd_time_frame;ipd_access_criteria;ipd_url;plan_to_share_ipd;plan_to_share_ipd_description;created_at;updated_at;cities_lead;id.x;role;name;affiliation;intervention_names_comb;id.y;number_of_facilities;number_of_nsae_subjects;number_of_sae_subjects;registered_in_calendar_year;nlm_download_date;actual_duration;were_results_reported;months_to_report_results;has_us_facility;has_single_facility;minimum_age_num;maximum_age_num;minimum_age_unit;maximum_age_unit;number_of_primary_outcomes_to_measure;number_of_secondary_outcomes_to_measure;number_of_other_outcomes_to_measure
NCT04229069;ClinicalTrials.gov processed this data on May 29, 2020;2020-01-07;;;2020-01-21;2020-01-13;2020-01-14;Actual;;;;;;;2020-01-21;2020-01-22;Actual;January 3, 2013;Actual;2013-01-03;January 2020;2020-01-31;December 30, 2015;Actual;2015-12-30;December 30, 2014;Actual;2014-12-30;;Interventional;BASICA;;Acid-Base Balance, Metabolism and Minerals;Randomized, Double-blind, Placebo-controlled Intervention Study on Effects of Basica® on Acid-base Balance, Metabolism and Quality of Life in Elderly Healthy Volunteers.;Completed;;N/A;40;Actual;Charite University, Berlin, Germany;;2;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;No;;2020-06-01T05:43:55Z;2020-06-01T05:43:55Z;Berlin;;;;;alkaline salt mixture | placebo;63460025;;;;2020;2020-05-29;24;FALSE;;;FALSE;60;70;Years;Years;1;;
NCT04209309;ClinicalTrials.gov processed this data on May 29, 2020;2019-12-17;;;2019-12-19;2019-12-19;2019-12-24;Actual;;;;;;;2019-12-19;2019-12-24;Actual;October 1, 2014;Actual;2014-10-01;December 2019;2019-12-31;July 1, 2016;Actual;2016-07-01;July 1, 2016;Actual;2016-07-01;;Interventional;;;Repetitive Transcranial Magnetic Stimulation as a Potential Tool to Reduce Sexual Arousal;Repetitive Transcranial Magnetic Stimulation as a Potential Tool to Reduce Sexual Arousal;Completed;;N/A;19;Actual;University of Regensburg;;3;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;No;Not allowed based on ethics vote.;2020-06-01T05:46:34Z;2020-06-01T05:46:34Z;Regensburg;;;;;repetitive transcranial magnetic stimulation;63461522;;;;2019;2020-05-29;21;FALSE;;;FALSE;18;50;Years;Years;1;;
NCT04157023;ClinicalTrials.gov processed this data on May 29, 2020;2019-11-01;;;2019-11-05;2019-11-05;2019-11-08;Actual;;;;;;;2019-11-05;2019-11-08;Actual;January 2017;Actual;2017-01-31;November 2019;2019-11-30;December 2017;Actual;2017-12-31;December 2017;Actual;2017-12-31;;Interventional;;;Simulator Training for Direct Ophthalmoscopy;Direct-Ophthalmoscopy-Simulator-Study;Completed;;N/A;78;Actual;University Hospital Tuebingen;;3;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;No;;2020-06-01T05:54:26Z;2020-06-01T05:54:26Z;Tübingen;;;;;Simulator-based Training of Direct Ophthalmoscopy;63465497;;;;2019;2020-05-29;11;FALSE;;;FALSE;18;;Years;;2;2;
NCT04152408;ClinicalTrials.gov processed this data on May 29, 2020;2018-10-22;;;2019-11-04;2019-11-04;2019-11-05;Actual;;;;;;;2019-11-04;2019-11-05;Actual;January 2017;Actual;2017-01-31;November 2019;2019-11-30;April 2017;Actual;2017-04-30;April 2017;Actual;2017-04-30;;Interventional;;;Clinical and Home Use Feasibility Study of a Percutaneous Optical Glucose Fiber Sensor;A Study to Investigate the Function, Safety and Tolerability of the FiberSense System in Diabetic Patients for a Period of Continuous Blood Glucose Monitoring up to 30 Days;Completed;;N/A;7;Actual;EyeSense GmbH;;1;;;FALSE;;;;TRUE;FALSE;FALSE;;;;;;;;;No;;2020-06-01T05:55:59Z;2020-06-01T05:55:59Z;Heidelberg;3437116;Principal Investigator;Christoph Hasslacher, Prof. Dr.;Diabetes Institut Heidelberg, Germany;FiberSense System;63465854;1;;;2018;2020-05-29;2;FALSE;;FALSE;TRUE;18;;Years;;3;9;
NCT04114201;ClinicalTrials.gov processed this data on May 29, 2020;2019-10-01;;;2019-10-02;2019-10-02;2019-10-03;Actual;;;;;;;2019-10-02;2019-10-03;Actual;August 2, 2012;Actual;2012-08-02;October 2019;2019-10-31;February 23, 2017;Actual;2017-02-23;February 23, 2017;Actual;2017-02-23;;Interventional;TKA PSI;;Clinical Outcome and OR Resource Use of Total Knee Arthroplasty Using Patient-Specific or Conventional Instrumentation;Evaluation of Zimmer® Patient Specific Instrumentation vs. Conventional Instrumentation in Total Knee Arthroplasty Procedures: Clinical and Economic Outcomes;Completed;;N/A;139;Actual;Technische Universität Dresden;;2;;;FALSE;;;;FALSE;FALSE;FALSE;;;FALSE;;;;;;No;;2020-06-01T06:02:22Z;2020-06-01T06:02:22Z;Dresden;;;;;PSI | Conventional;63468774;3;;;2019;2020-05-29;55;FALSE;;FALSE;FALSE;18;;Years;;1;6;
NCT03961906;ClinicalTrials.gov processed this data on May 29, 2020;2019-05-20;;;2019-05-22;2019-05-22;2019-05-23;Actual;;;;;;;2019-05-22;2019-05-23;Actual;January 1, 2015;Actual;2015-01-01;May 2019;2019-05-31;March 30, 2017;Actual;2017-03-30;March 30, 2017;Actual;2017-03-30;;Interventional;;;Physiotherapy in Hereditary Spastic Paraplegia;Design and Validation of a Modular Physiotherapy Concept for the Treatment of Hereditary Spastic Spinal Paralysis (HSP) - a Randomized Study;Completed;;Phase 2;53;Actual;University Hospital Tuebingen;;2;;;FALSE;;;;;FALSE;FALSE;;;;;;;;;No;Available upon request;2020-06-01T06:23:29Z;2020-06-01T06:23:29Z;Tübingen;;;;;physiotherapy;63480388;1;;;2019;2020-05-29;27;FALSE;;FALSE;TRUE;18;80;Years;Years;1;1;
NCT03868865;ClinicalTrials.gov processed this data on May 29, 2020;2019-02-27;;;2019-03-06;2019-03-06;2019-03-11;Actual;;;;;;;2019-03-06;2019-03-11;Actual;August 7, 2012;Actual;2012-08-07;March 2019;2019-03-31;April 7, 2015;Actual;2015-04-07;April 7, 2015;Actual;2015-04-07;;Interventional;;;Effects of an Integrative Day-care Clinic Program for Breast Cancer Patients During Chemotherapy;Effects of an Integrative Day-care Clinic Program for Breast Cancer Patients During Chemotherapy: an Observational Study;Completed;;N/A;57;Actual;Universität Duisburg-Essen;;1;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;Undecided;;2020-06-01T06:36:10Z;2020-06-01T06:36:10Z;Duisburg;;;;;Integrative mind-body-medicine group program;63487454;1;;;2019;2020-05-29;32;FALSE;;FALSE;TRUE;18;;Years;;6;;
NCT03860129;ClinicalTrials.gov processed this data on May 29, 2020;2018-09-24;;;2019-02-28;2019-02-28;2019-03-01;Actual;;;;;;;2019-02-28;2019-03-01;Actual;December 10, 2014;Actual;2014-12-10;February 2019;2019-02-28;May 31, 2017;Actual;2017-05-31;May 5, 2017;Actual;2017-05-05;;Interventional;;;Different Volatile Anaesthetics and the Depth of Long Term ICU Sedation;Depth of Long Term ICU Sedation Under 0,5 MAC Isoflurane, Sevoflurane or Desflurane Using MIRUS, an Automated Delivery System for Volatile Anaesthetics;Completed;;N/A;30;Actual;Ruhr University of Bochum;;3;;;FALSE;;;;TRUE;FALSE;FALSE;;;;;;;;;;;2020-06-01T06:37:19Z;2020-06-01T06:37:19Z;Bochum;3455552;Principal Investigator;Thomas Weber, PhD;Ruhr-University of Bochum, Germany;Isoflurane | Sevoflurane | Desflurane;63488132;;;;2018;2020-05-29;29;FALSE;;;FALSE;18;;Years;;1;;
NCT03854942;ClinicalTrials.gov processed this data on May 29, 2020;2019-02-18;;;2019-09-10;2019-02-25;2019-02-26;Actual;;;;;;;2019-09-10;2019-09-12;Actual;August 30, 2011;Actual;2011-08-30;September 2019;2019-09-30;December 13, 2017;Actual;2017-12-13;December 13, 2017;Actual;2017-12-13;;Interventional;;;Study of the Opioid Modulation of the Effect of Alcohol on the Dopaminergic Reward System;Opioid Modulation of the Effect of Alcohol on the Dopaminergic Reward System: a [18F]-Fallypride- and [18F]-Fluoro-DOPA-PET Study.;Terminated;;Phase 1;43;Actual;RWTH Aachen University;;3;;Recruitment rate could not be met in the study period, review group was dissolved before~   regular end of study. Recruitment was therefore terminated.;FALSE;;;;TRUE;FALSE;FALSE;;;;;;;;;No;;2020-06-01T06:37:56Z;2020-06-01T06:37:56Z;Aachen;;;;;Placebo | Naltrexone;63488518;1;;;2019;2020-05-29;76;FALSE;;FALSE;TRUE;21;45;Years;Years;2;4;7
NCT03829839;ClinicalTrials.gov processed this data on May 29, 2020;2019-02-01;;;2019-04-15;2019-02-01;2019-02-04;Actual;;;;;;;2019-04-15;2019-04-17;Actual;March 3, 2016;Actual;2016-03-03;April 2019;2019-04-30;August 16, 2017;Actual;2017-08-16;August 16, 2017;Actual;2017-08-16;;Interventional;;;Effects of Oxytocin and Lorazepam on Fear-related Intra-amygdalar Activity;Common and Dissociable Effects of Oxytocin and Lorazepam on the Neurocircuitry of Fear - an Ultra-high Field Imaging Study;Completed;;Phase 1;120;Actual;University Hospital, Bonn;;2;;;FALSE;;;;FALSE;FALSE;FALSE;;;FALSE;;;;;;No;;2020-06-01T06:41:40Z;2020-06-01T06:41:40Z;Bonn;;;;;Oxytocin | Lorazepam 1 mg | Placebo nasalspray | Placebo Oral Tablet;63490433;1;;;2019;2020-05-29;17;FALSE;;FALSE;TRUE;18;40;Years;Years;1;;
