number_new,number,drksId,pruefer,cities_lead,cities_lead_corrected,manual_validation_cities_lead,Publication identified in which step,publication_DOI,publication_URL,article_yes_no,publication_date,unsure_about_publ_yes_no,reason,other_comments,title,firstDrksPublishDate,startDate,startDate_plannedActual,studyEnd,intervention.category0,intervention.value0,intervention.category1,intervention.value1,intervention.category2,intervention.value2,address.type0,address.affiliation0,address.firstname0,address.lastname0,address.type1,address.affiliation1,address.firstname1,address.lastname1,targetSize,recruitmentStatus,investorInitiated,monoMultiCentric,publication.category0,publication.type0,publication.value0,publication.category1,publication.type1,publication.value1,publication.category2,publication.type2,publication.value2,publication.category3,publication.type3,publication.value3,publication.category4,publication.type4,publication.value4
157,1,DRKS00000304,EN,Aachen,Aachen,Aachen,1,10.1016/S2215-0366(16)00085-7,https://pubmed.ncbi.nlm.nih.gov/27265548/,yes,02.06.2016,no,,,"Clinical effectiveness of the newer antipsychotic compounds olanzapine, quetiapine and aripiprazole in comparison with low dose conventional  antipsychotics (haloperidol and flupentixol) in patients with schizophrenia",2009-12-21,2010/04/08,Actual,2014/03/31,Arm 1,"Oral administration of two tablets of the following (atypical) drugs during the first two weeks: Aripiprazole 5 mg in the morning or either Olanzapine 5 mg, Quetiapine 200 mg in the evening.  Supplemented with placebo in the morning or evening, double-blind. After the first 14 days the medication dosage can be increased up to 4 tablets per day. During the whole treatment period the patient may be  given up to 7.5 mg of Lorazepam or 8 mg of Biperiden.<br/>",Arm 2,"Oral administration of two tablets of the following (typical) drugs during the first two weeks: Flupentixol 3 mg or Haloperidol 1.5 mg in the evening.  Supplemented with placebo in the morning, double-blind. After the first 14 days the medication dosage can be increased up to 4 tablets per day. During the whole treatment period the patient may be  given up to 7.5 mg of Lorazepam or 8 mg of Biperiden.",,,Primary Sponsor,"Universität Bremen<br/>Kompetenzzentrum für Klinische Studien Bremen, Biometrie",Jürgen,Timm,Contact for Scientific Queries,"Universität Bremen, Kooperationszentrum Medizin<br/>Kompetenzzentrum für Klinische Studien Bremen",Eckart,Rüther,181,"Recruiting complete, follow-up complete",yes,Multicenter trial,Paper,http://www.gesundheitsforschung-bmbf.de/_media/NL_74_barrierefrei.pdf,"BMBF: Antipsychotika im Fokus, Aktuelle Ergebnisse der Gesundheitsforschung Newsletter 74, August 2015, 8-9.",Trial results,http://www.thelancet.com/journals/lanpsy/onlineFirst,"Gründer G, Heinze H, Cordes J, Mühlbauer B, Juckel G, Schulz C, Rüther E and Timm; The NeSSy Study Group. Effects of first-versus second-generation antipsychotics on quality of life in schizophrenia: a double-blind randomised study. Lancet Psychiatry 2016; DOI: 10.1016/S2215-0366(16)00085-7.",Trial results,http://ctj.sagepub.com/content/current,"Schulz C, Timm J, Cordes J, Gründer G, Mühlbauer B, Rüther E and Heinze H. Patient-orientated randomisation: A new trial design applied in the Neuroleptic Strategy Study. Clin Trials 2016; 13: 251–259.",Paper,http://ctj.sagepub.com/content/current,"Schulz C, Timm J, Cordes J, Gründer G, Mühlbauer B, Rüther E and Heinze H. Response from the authors. Clin Trials 2016; 13: 262–263.",,,
388,2,DRKS00004887,EN,Aachen,Aachen,Aachen,3,DOI: 10.1055/a-0891-3505 ,https://pubmed.ncbi.nlm.nih.gov/31108553/,yes,20.05.2019,no,,,Changing lifestyle and improving subjective judgment of occupation by a  planning-competence-training with follow-up care among type II diabetes mellitus and adiposity inpatients: a randomized controlled trail. ,2013-10-07,2013/01/16,Actual,2015/04/30,Arm 1,"Experimental condition: Planning-Competence training with follow-up care.<br/><br/>The planning competence training is composed of four training units (length 1 -1,5 h) and a transfer session.<br/>Following three training units the transfer session is placed before the last training unit, which is a parallel construct to the first unit thus functioning as a performance control. <br/>By providing an opportunity for reflection of the training contents the transfer session supports the process of implementing the content to daily life (length 1,5 h).  The units take place at five sequenced days. The individual target planning<br/>During an one-on-one closing interview(length: about one hour) at the end of the rehabilitation process at the clinic certain goals and plans are defined individually.  Each patient formulates individual self-instructions helping to put the plans concnering lifestyle shift into practice. The telephone follow-up care lasts six months in which the patient is called every four weeks. Throughout those phone calls the planned goals and lifestyle shifts are discussed (length about 15 minutes). <br/>",Arm 2,Control group 1: Planning-Competence training without follow-up care,Arm 3,"Control group 2:  Placebocondition with placebo follow-up care<br/>The placebo- intervention serves lectures about general topics in health care and prevention like stressprevention, relaxation, alcohol, burnout prevention and salutogenisis (length about 30 minutes). In addition the contact is abided by  one-on-one interviews in the end of the training and a placebo telephone follow-up care (each telephone call lasting about 15 minutes).  General state of health is addressed during those calls without bringing up the topics of lifestyle shift.<br/><br/><br/>",Primary Sponsor,REFONET,Burkhard,Wild,Contact for Scientific Queries,"Institut für Psychologie<br/>RWTH Aachen, Lehr- & Forschungsgebiet Berufliche Rehabilitation",Viktoria,Arling,791,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
277,3,DRKS00006220,EN,Aachen,Aachen,Aachen,2,0.4172/2167-0846.1000343,https://www.omicsonline.org/peer-reviewed/support-of-acute-pain-therapy-by-analgesia-nociception-index-in-post-anesthesia-care-unit-a-randomized-controlled-trial-108115.html,yes,20.03.2019,no,,,Support of pain therapy by continuous algesia measurements by A.N.I. monitor in postoperative patients at the recovery room,2014-07-16,2014/06/09,Actual,2016/07/01,Arm 1,Continuous measurement by A.N.I. monitor additionally to periodically consultation of patients (every 15 minutes). A lower deviation of predetermined threshold (ANI ≤ 57) leads to the consultation of the patient about pain and if necessary to the application of analgesics.,Arm 2,"Conventional pain therapy by standards (consultation of NRS every 15 minutes, application of analgesics if necessary)",,,Primary Sponsor,Universitätsklinikum Aachen Klinik für Anästhesiologie,Michael,Czaplik,Contact for Scientific Queries,Universitätsklinikum Aachen Klinik für Anästhesiologie,Michael,Czaplik,150,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
455,4,DRKS00008763,EN,Aachen,none,none,9,,,,,,,,Effects of Balance Exercises and strength training - measurement of efficiency on subjects with COPD in lung groups take place near by home. ,2015-08-11,2015/09/25,Actual,2017/10/31,Arm 1,training as usual: 12 weeks 2 times a week for 45 min. unspecific training<br/>,Arm 2,balance group:  12 weeks 2 times a week for 45 min. specific balance training with exercise progression and additional home program,Arm 3,strength group: 12 weeks 2 times a week for 45 min. specific lower limb training with intensity impovement and additional home program,Primary Sponsor,Luisenhospital,Nicole,Bott,Contact for Scientific Queries,Luisenhospital Aachen,Nicole,Bott,60,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
41,5,DRKS00011658,EN,Aachen,Aachen,Aachen,0,,,,,,,,Logopedic therapy for velar-induced snoring,2017-01-25,2017/01/26,Actual,2017/07/06,Arm 1,"Logopedic therapy for strengthening the velum, once a week for 45 minutes during a period of 8 weeks.  Additionally the subjects do exercises at home on five days weekly.",Arm 2,"Logopedic therapy not strengthening the velum (breathing, voice and relaxation exercises), once a week for 45 minutes during a period of 8 weeks.  Additionally the subjects do exercises at home on five days weekly.",,,Primary Sponsor,"Department of Medical Informatics, Uniklinik RWTH Aachen",Stephan,Jonas,Contact for Scientific Queries,"Department of Medical Informatics, Uniklinik RWTH Aachen",Inga,Güthe,10,"Recruiting complete, follow-up complete",yes,Monocenter trial,Approval of ethics comm. (mandatory for transfer to Studybox),EK 182-16 Votum 31.08.2016.pdf,Ethik Snoring,trial protocol (mandatory for transfer to Studybox),Pruefplan_Schnarchen_small.pdf,Prüfplan,,,,,,,,,
278,6,DRKS00012871,EN,Aachen,Aachen,Aachen,2,10.1186/s12938-018-0526-0,https://pubmed.ncbi.nlm.nih.gov/30005629/,yes,13.07.2018,no,,,Application of EIT to determine bladder volume,2017-08-24,2013/09/02,Actual,2014/12/31,Arm 1,"Interventional, open proband study of the measurement of the electrical impedance at filled and emptied bladder with measuring times of 5 minutes per cycle each with different electrode arrangements.",,,,,Primary Sponsor,Klinik für UrologieUniklinik RWTH Aachen,Joachim,Grosse,Contact for Scientific Queries,Klinik für UrologieUniklinik RWTH Aachen,Joachim,Grosse,12,"Recruiting complete, follow-up complete",yes,Monocenter trial,Approval of ethics comm. (mandatory for transfer to Studybox),13-042_2013-07-25_Votum BlasenEIT.pdf,Ethics Votum,Further trial documents,13-042_BlasenEIT_CRF_Version 01_07-08-2013.pdf,Patient survey,Further trial documents,EIT_Messprotokoll_UKA_HIA .pdf,Messprotokoll Elektrische Impedanztomographie,,,,,,
214,7,DRKS00000446,HK,Bochum,Bochum,Bochum,1,10.1007/s00392-020-01701-1,https://link.springer.com/article/10.1007/s00392-020-01701-1#article-info,yes,10.07.2020,no,,,Effect of an automatic continuous positive airway pressure (APAP) ventilation therapy on exercise capacity in patients with congestive heart failure and obstructive sleep apnoea,2010-06-29,2009/02/12,Actual,2016/11/23,Arm 1,"Nocturnal, continuous automatic positive airway pressure (APAP)",Arm 2,breathing strip,,,Primary Sponsor,"Kardiologische Klinik, Herz- und Diabeteszentrum NRW, Universitätsklinik der Ruhr-Universität Bochum",Olaf,Oldenburg,Contact for Scientific Queries,"Kardiologische Klinik, Herz- und Diabeteszentrum NRW, Universitätsklinik der Ruhr-Universität Bochum",Astrid,Kleemeyer,76,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,Oldenburg O et al. Automatic positive airway pressure for treatment of obstructive sleep apnea in heart failure. Somnologie 2017;21:273-280,,,,,,,,,,,,
61,8,DRKS00003610,HK,Bochum,Bochum,Bochum,0,,,no,,no,,,Reduction of potentially inappropriate medication in the eldery,2012-04-05,2012/04/26,Actual,2014/08/29,Arm 1,"The experimental intervention will consist of newly developed recommendations to avoid potentially inappropriate medication in the elderly on the basis of the PRISCUS list. The PRISCUS list was developed in a former project and contains 83 drugs assumed to be potentially inappropriate in the opinion of experts. For the purpose of this study, the PRISCUS list has been further developed into a pocket sized quick reference guide containing 17 drugs to avoid as well as 3 important drug-drug interactions and hints to monitor drugs appropriately. New recommendations, for example checks of medication during apparent cognitive decline, after falls or hospital stays, are also included. Furthermore, a comprehensive manual of approx. 80 pages will be provided, detailing and substantiating recommendations from the quick reference guide by research evidence. All general practitioners of the intervention group will receive the quick reference guide and the manual. Along with this material, all general practitioners will be offered different training opportunities depending on their needs and requirements. Aim of all training opportunities will be to get familiar with the new recommendations and practice its application. <br/><br/>In order to assess whether or not an involvement of the whole office personnel is more effective than an intervention on physician level alone, the intervention group will further be randomized into an intervention on physician level only and an intervention involving the whole office team. ",Arm 2,"In the control group, the general practitioners will not receive material with the new developed recommendations on how to avoid potentially inappropriate medication in the elderly. Instead, usual recommendations for the pharmacotherapy in the elderly will be applied. As the intervention group, all physicians of the control group will be invited to participate in continuing education and training towards pharmacotherapy in the elderly. In the control group, the practice team will not be involved.",,,Primary Sponsor,Ruhr-Universität Bochum,[---]*,[---]*,Contact for Scientific Queries,"Ruhr-Universtät-Bochum<br/>Medizinische Informatik, Biometrie und Epidemiologie",Hans-Joachim,Trampsich,1680,"Recruiting complete, follow-up complete",yes,Multicenter trial,,,,,,,,,,,,,,,
215,9,DRKS00009792,HK,Bochum,Bochum,Bochum,1,10.3238/arztebl.2016.0347,https://www.aerzteblatt.de/archiv/179297/Einfluss-unterschiedlicher-Musikstile-auf-das-Herz-Kreislauf-System,yes,14.03.2016,no,,,Strauss by stress? Influence of different Music styles on the cardiovascular System in humans. A prospective randomized study,2015-12-23,2012/03/01,Actual,2015/11/30,Arm 1,"Music application with Mozart, Strauss or ABBA <br/>performed on 3 days: one day with one Music style.<br/>Music application was performed during 25 minutes. All volunteers layed with closed eyes. During Music and thereafter (total Duration 3 hours) blood pressure and heart rate was studied continuosly (GE Marquette MAC 1200). Identical loudness in all volunteers (60 db).",Arm 2,"Controlgroup without Music application. There was an identical study protocol: The volunteers were laying with closed eyes, but there was no Music application over their headphones, only silence. Blood pressure and heart rate was mesasured continously (total Duration 3 hours). Headphones: Philips, mp3-player, Odays S-8 2 GB).<br/>The Control Group had one study day (10.00 a.m. to 1.00 p.m.)",,,Primary Sponsor,Med. Universitäts-Klinik II (Kardiologie und Angiologie)Marien Hospital HerneKlinikum der Ruhr-Universität Bochum,Hans-Joachim,Trappe,Contact for Scientific Queries,Medizinische Universitäts-Klinik II (Kardiologie und Angiologie)Marien Hospital HerneKlinikum der Ruhr-Universität Bochum,Hans-Joachim,Trappe,120,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Hans-Joachim Trappe, Gabriele Voit Einfluss unterschiedlicher Musikstile auf das Herz-Kreislauf-System. Eine randomisierte kontrollierte Studie zur Wirkung von Musikstücken von W.A. Mozart, J. Strauss und ABBA Dtsch Arztebl Int 2016; 113:347-352",,,,,,,,,,,,
304,10,DRKS00010845,HK,Bochum,Bochum,Bochum,2,10.1016/j.jcrs.2017.06.041,https://www.sciencedirect.com/science/article/abs/pii/S0886335017305503,yes,01.09.2017,no,,,Evaluation of the safety and tolerability of the primary posterior capsulotomy during femtosecond laser-assisted cataract surgery,2016-08-03,2015/04/09,Actual,2016/07/07,Arm 1,Cataract Surgery of both eyes.<br/>The first eye is operated with the standard manual method and additionally supplied with the primary posterior capsulotomy by femtosecond laser after successful implantation of intraocular lens.<br/>The second eye is operated with the standard manual method.<br/>,Arm 2,Cataract Surgery of both eyes.<br/>The first eye is operated with the standard manual method.<br/>The second eye is operated with the standard manual method and additionally supplied with the primary posterior capsulotomy by femtosecond laser after successful implantation of intraocular lens.<br/>,,,Primary Sponsor,Universitätsklinikum Knappschaftskrankenhaus Bochum GmbH Augenklinik,H. Burkhard,Dick,Contact for Scientific Queries,Universitätsklinikum Knappschaftskrankenhaus Bochum GmbH Augenklinik,H. Burkhard,Dick,33,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
