City,Trials,Published <24m after CD,Percentage
Aachen,61,16,26.2
All,1658,709,42.8
Berlin,176,67,38.1
Bochum,35,13,37.1
Bonn,35,16,45.7
Dresden,33,13,39.4
Duisburg,54,20,37
Düsseldorf,37,15,40.5
Erlangen,43,21,48.8
Frankfurt,62,22,35.5
Freiburg,93,35,37.6
Giessen,17,12,70.6
Göttingen,18,9,50
Greifswald,26,5,19.2
Halle,36,15,41.7
Hamburg,83,35,42.2
Hannover,46,25,54.3
Heidelberg,113,52,46
Homburg,13,7,53.8
Jena,18,7,38.9
Köln,70,29,41.4
Leipzig,72,38,52.8
LMU-München,59,25,42.4
Magdeburg,26,10,38.5
Mainz,42,21,50
Mannheim,38,13,34.2
Marburg,39,19,48.7
Münster,35,12,34.3
Regensburg,34,16,47.1
Rostock,13,6,46.2
Schleswig-Holstein,67,30,44.8
TU-München,89,48,53.9
Tübingen,93,36,38.7
Ulm,47,27,57.4
Witten-Herdecke,7,1,14.3
Würzburg,28,12,42.9
