City,Trials,Published <600m after CD,Percentage
Aachen,29,16,55.2
All,749,552,73.7
Berlin,87,66,75.9
Bochum,17,12,70.6
Bonn,14,8,57.1
Dresden,14,9,64.3
Duisburg,26,18,69.2
Düsseldorf,15,11,73.3
Erlangen,17,10,58.8
Frankfurt,31,20,64.5
Freiburg,44,32,72.7
Giessen,10,8,80
Göttingen,10,6,60
Greifswald,14,10,71.4
Halle,21,15,71.4
Hamburg,43,32,74.4
Hannover,16,14,87.5
Heidelberg,51,38,74.5
Homburg,5,5,100
Jena,7,5,71.4
Köln,35,29,82.9
Leipzig,34,30,88.2
LMU,21,17,81
Magdeburg,9,6,66.7
Mainz,18,15,83.3
Mannheim,17,10,58.8
Marburg,19,15,78.9
Münster,17,12,70.6
Regensburg,15,12,80
Rostock,5,4,80
Schleswig-Holstein,31,25,80.6
TU,48,40,83.3
Tübingen,33,24,72.7
Ulm,14,12,85.7
Witten-Herdecke,4,3,75
Würzburg,11,10,90.9
