City,trials_IntoValue1,timely_published_IntoValue1,percentage_IntoValue1,Trials,Published <24m after CD,Percentage,percentage_diff
Giessen,26,7,26.9,17,12,70.6,43.7
Ulm,35,16,45.7,47,27,57.4,11.7
Hannover,65,26,40,46,25,54.3,14.3
TU-München,92,39,42.4,89,48,53.9,11.5
Homburg,21,13,61.9,13,7,53.8,-8.1
Leipzig,59,25,42.4,72,38,52.8,10.4
Göttingen,29,10,34.5,18,9,50,15.5
Mainz,32,8,25,42,21,50,25
Erlangen,51,15,29.4,43,21,48.8,19.4
Marburg,23,8,34.8,39,19,48.7,13.9
Regensburg,21,11,52.4,34,16,47.1,-5.3
Rostock,12,6,50,13,6,46.2,-3.8
Heidelberg,116,44,37.9,113,52,46,8.1
Bonn,37,14,37.8,35,16,45.7,7.9
Schleswig-Holstein,37,12,32.4,67,30,44.8,12.4
Würzburg,22,10,45.5,28,12,42.9,-2.6
All,1438,561,39,1658,709,42.8,3.8
LMU-München,60,26,43.3,59,25,42.4,-0.9
Hamburg,50,21,42,83,35,42.2,0.2
Halle,28,8,28.6,36,15,41.7,13.1
Köln,44,20,45.5,70,29,41.4,-4.1
Düsseldorf,28,13,46.4,37,15,40.5,-5.9
Dresden,53,24,45.3,33,13,39.4,-5.9
Jena,36,9,25,18,7,38.9,13.9
Tübingen,54,28,51.9,93,36,38.7,-13.2
Magdeburg,20,4,20,26,10,38.5,18.5
Berlin,150,53,35.3,176,67,38.1,2.8
Freiburg,77,25,32.5,93,35,37.6,5.1
Bochum,33,11,33.3,35,13,37.1,3.8
Duisburg,37,17,45.9,54,20,37,-8.9
Frankfurt,52,20,38.5,62,22,35.5,-3
Münster,31,10,32.3,35,12,34.3,2
Mannheim,30,12,40,38,13,34.2,-5.8
Aachen,33,12,36.4,61,16,26.2,-10.2
Greifswald,28,5,17.9,26,5,19.2,1.3
Witten-Herdecke,16,3,18.8,7,1,14.3,-4.5
